Ranking,PlayerName,Games,Total Scoring,Average,IQR
1.0,Christian McCaffrey,26,670.6,26.0,11.0
2.0,Derrick Henry,39,968.3,25.0,17.8
3.5,Dalvin Cook,40,891.0,22.0,12.5
3.5,Jonathan Taylor,31,677.8,22.0,13.2
5.5,Alvin Kamara,41,807.6,20.0,9.9
5.5,Davante Adams,41,810.4,20.0,17.2
7.0,Najee Harris,16,297.8,19.0,9.1
10.0,Austin Ekeler,41,730.5,18.0,8.4
10.0,Aaron Jones,45,813.5,18.0,9.9
10.0,Ja'Marr Chase,16,294.2,18.0,11.9
10.0,Elijah Mitchell,10,180.6,18.0,12.4
10.0,Nick Chubb,41,750.4,18.0,15.3
15.0,Ezekiel Elliott,47,786.7,17.0,11.8
15.0,Michael Thomas,23,400.2,17.0,14.4
15.0,Joe Mixon,38,652.8,17.0,14.4
15.0,Tyreek Hill,42,720.0,17.0,14.7
15.0,Cooper Kupp,46,791.0,17.0,15.2
19.5,Josh Jacobs,42,658.6,16.0,9.6
19.5,Chris Carson,31,483.8,16.0,9.8
19.5,Leonard Fournette,41,636.7,16.0,10.7
19.5,Justin Jefferson,32,519.2,16.0,12.4
26.0,Calvin Ridley,32,482.3,15.0,8.4
26.0,Stefon Diggs,47,697.7,15.0,9.8
26.0,Chris Godwin,40,615.5,15.0,10.6
26.0,Mike Evans,43,639.5,15.0,10.6
26.0,James Robinson,28,431.7,15.0,11.4
26.0,James Conner,37,547.7,15.0,11.7
26.0,Saquon Barkley,27,403.9,15.0,12.2
26.0,DeAndre Hopkins,41,601.1,15.0,13.1
26.0,David Montgomery,43,643.2,15.0,14.6
33.5,Keenan Allen,45,623.6,14.0,8.4
33.5,Deebo Samuel,37,524.6,14.0,10.6
33.5,Tyler Lockett,46,631.5,14.0,11.1
33.5,Antonio Brown,16,221.2,14.0,11.8
33.5,Antonio Gibson,29,406.4,14.0,13.4
33.5,D'Andre Swift,25,360.9,14.0,13.6
44.0,Clyde Edwards-Helaire,23,301.0,13.0,8.1
44.0,Kenyan Drake,41,512.6,13.0,9.1
44.0,Damien Harris,25,329.0,13.0,9.3
44.0,Kareem Hunt,32,414.3,13.0,9.6
44.0,Miles Sanders,40,501.3,13.0,10.1
44.0,Tee Higgins,28,355.7,13.0,10.3
44.0,D.K. Metcalf,47,597.7,13.0,10.5
44.0,Melvin Gordon III,42,561.0,13.0,10.7
44.0,Robert Woods,40,521.6,13.0,10.9
44.0,Todd Gurley II,30,393.4,13.0,11.2
44.0,Amari Cooper,45,594.6,13.0,11.8
44.0,Julio Jones,32,426.0,13.0,13.5
44.0,Adam Thielen,37,496.5,13.0,13.7
44.0,William Fuller V,24,307.6,13.0,15.0
44.0,A.J. Brown,42,566.7,13.0,16.6
58.5,John Brown,22,265.2,12.0,6.6
58.5,Javonte Williams,16,199.1,12.0,7.2
58.5,DeVante Parker,36,447.3,12.0,8.2
58.5,Elijah Moore,10,120.2,12.0,9.4
58.5,J.K. Dobbins,15,174.9,12.0,9.4
58.5,CeeDee Lamb,31,375.4,12.0,9.8
58.5,D.J. Chark Jr.,31,357.5,12.0,9.8
58.5,Jaylen Waddle,15,183.8,12.0,9.8
58.5,DJ Moore,46,571.5,12.0,10.2
58.5,Terry McLaurin,44,535.2,12.0,10.6
58.5,Brandin Cooks,41,495.5,12.0,10.9
58.5,Kenny Golladay,31,360.2,12.0,11.2
58.5,Allen Robinson II,43,501.8,12.0,11.7
58.5,Julian Edelman,22,253.6,12.0,13.0
73.5,Michael Carter,13,149.3,11.0,7.2
73.5,Sterling Shepard,29,311.8,11.0,7.8
73.5,Rhamondre Stevenson,11,120.7,11.0,8.4
73.5,Michael Gallup,38,418.5,11.0,8.9
73.5,Devonta Freeman,34,359.1,11.0,8.9
73.5,Marvin Jones Jr.,45,496.3,11.0,9.2
73.5,Mike Williams,44,471.9,11.0,10.2
73.5,Tyler Boyd,46,497.0,11.0,10.2
73.5,Marquise Brown,44,467.2,11.0,10.3
73.5,Raheem Mostert,24,273.2,11.0,10.5
73.5,Myles Gaskin,33,347.2,11.0,10.9
73.5,Amon-Ra St. Brown,15,159.8,11.0,11.4
73.5,Mark Ingram II,39,419.9,11.0,11.4
73.5,Diontae Johnson,46,521.9,11.0,12.0
73.5,Brandon Aiyuk,27,286.2,11.0,12.8
73.5,Marlon Mack,20,228.2,11.0,13.0
91.5,Cam Akers,11,111.8,10.0,5.6
91.5,Jordan Howard,23,222.1,10.0,5.8
91.5,Cole Beasley,45,444.2,10.0,7.1
91.5,Jarvis Landry,42,440.5,10.0,7.2
91.5,Alshon Jeffery,12,124.3,10.0,7.7
91.5,Devin Singletary,44,461.2,10.0,7.7
91.5,Chase Claypool,30,314.6,10.0,8.0
91.5,Christian Kirk,43,430.4,10.0,8.2
91.5,Sony Michel,40,405.1,10.0,8.2
91.5,Odell Beckham Jr.,35,347.2,10.0,8.4
91.5,Corey Davis,35,354.7,10.0,9.6
91.5,Curtis Samuel,35,340.5,10.0,9.6
91.5,Courtland Sutton,33,322.1,10.0,9.9
91.5,Chase Edmonds,37,371.4,10.0,10.0
91.5,Ronald Jones II,45,446.8,10.0,11.8
91.5,David Johnson,36,377.0,10.0,11.8
91.5,Jeff Wilson Jr.,25,257.4,10.0,12.1
91.5,Jamison Crowder,39,380.8,10.0,12.2
91.5,Damien Williams,19,187.1,10.0,13.5
91.5,Darrell Henderson Jr.,34,327.2,10.0,13.7
115.0,Jerry Jeudy,23,197.8,9.0,4.3
115.0,James White,32,287.3,9.0,6.0
115.0,Latavius Murray,44,391.0,9.0,6.4
115.0,Golden Tate,23,197.1,9.0,6.6
115.0,T.Y. Hilton,34,297.5,9.0,6.8
115.0,Darius Slayton,37,316.0,9.0,6.9
115.0,Mike Davis,35,328.3,9.0,7.0
115.0,Tyrell Williams,14,127.5,9.0,7.2
115.0,Jamaal Williams,40,375.1,9.0,8.0
115.0,Darnell Mooney,32,290.2,9.0,8.3
115.0,Emmanuel Sanders,44,407.2,9.0,8.7
115.0,Le'Veon Bell,33,306.5,9.0,8.7
115.0,Gabriel Davis,26,228.5,9.0,8.8
115.0,Robby Anderson,47,423.2,9.0,8.9
115.0,Nelson Agholor,38,326.7,9.0,9.0
115.0,Chuba Hubbard,15,129.8,9.0,9.2
115.0,D'Onta Foreman,13,117.4,9.0,9.2
115.0,Hunter Renfrow,45,416.5,9.0,9.4
115.0,Breshad Perriman,27,237.6,9.0,9.6
115.0,Adrian Peterson,35,324.1,9.0,9.6
115.0,Rex Burkhead,34,291.6,9.0,9.6
115.0,AJ Dillon,25,223.6,9.0,9.6
115.0,Michael Pittman Jr.,29,265.9,9.0,10.0
115.0,JuJu Smith-Schuster,33,302.4,9.0,10.6
115.0,DeVonta Smith,16,150.0,9.0,12.3
115.0,Travis Fulgham,11,99.9,9.0,12.3
115.0,Rashaad Penny,21,195.6,9.0,12.5
141.5,Jakobi Meyers,38,286.5,8.0,4.0
141.5,Tarik Cohen,19,146.7,8.0,4.0
141.5,Sammy Watkins,31,235.6,8.0,5.2
141.5,Rashod Bateman,10,80.3,8.0,5.4
141.5,Gus Edwards,32,245.5,8.0,5.6
141.5,Taylor Gabriel,9,76.1,8.0,6.1
141.5,Larry Fitzgerald,29,217.8,8.0,6.5
141.5,Phillip Lindsay,40,333.0,8.0,6.5
141.5,John Ross,16,123.6,8.0,6.7
141.5,Randall Cobb,35,290.5,8.0,6.7
141.5,Tony Pollard,44,362.3,8.0,6.7
141.5,Kerryon Johnson,21,157.8,8.0,7.2
141.5,Carlos Hyde,36,305.7,8.0,7.7
141.5,Duke Johnson Jr.,31,258.4,8.0,8.0
141.5,A.J. Green,26,219.3,8.0,8.1
141.5,Zack Moss,25,204.2,8.0,8.1
141.5,Tim Patrick,35,291.9,8.0,8.3
141.5,Russell Gage,39,321.3,8.0,8.8
141.5,Boston Scott,33,278.9,8.0,8.8
141.5,Donovan Peoples-Jones,18,137.8,8.0,9.0
141.5,J.D. McKissic,42,339.7,8.0,9.0
141.5,Allen Lazard,34,273.7,8.0,9.4
141.5,Darrel Williams,38,292.8,8.0,9.4
141.5,Wayne Gallman Jr.,27,203.2,8.0,11.0
141.5,K.J. Osborn,15,125.0,8.0,11.3
141.5,Marquez Valdes-Scantling,33,273.5,8.0,13.3
169.5,Mike Boone,12,78.5,7.0,4.5
169.5,Danny Amendola,34,225.3,7.0,4.6
169.5,DeAndre Washington,20,132.4,7.0,4.8
169.5,Kadarius Toney,9,65.4,7.0,4.9
169.5,Laviska Shenault Jr.,29,215.8,7.0,5.4
169.5,Preston Williams,20,148.5,7.0,5.8
169.5,Frank Gore,30,216.9,7.0,5.8
169.5,Cedrick Wilson Jr.,22,145.2,7.0,6.1
169.5,Rashard Higgins,25,164.4,7.0,6.1
169.5,Chris Conley,40,260.8,7.0,6.2
169.5,Tevin Coleman,30,208.4,7.0,6.2
169.5,James Washington,36,250.7,7.0,6.3
169.5,Kendrick Bourne,45,326.4,7.0,6.3
169.5,Nyheim Hines,48,347.0,7.0,6.4
169.5,Henry Ruggs III,20,146.8,7.0,6.6
169.5,Zach Pascal,43,306.4,7.0,6.6
169.5,DeSean Jackson,20,143.2,7.0,6.7
169.5,Greg Ward,26,180.5,7.0,6.8
169.5,Tre'Quan Smith,30,204.2,7.0,6.9
169.5,Marquez Callaway,22,163.6,7.0,7.0
169.5,Van Jefferson,25,176.8,7.0,7.0
169.5,Alex Collins,14,98.5,7.0,7.0
169.5,Phillip Dorsett II,14,101.2,7.0,7.2
169.5,Kenneth Gainwell,14,91.8,7.0,7.2
169.5,Alexander Mattison,41,288.6,7.0,7.5
169.5,Matt Breida,29,191.3,7.0,7.9
169.5,Dontrell Hilliard,14,102.4,7.0,9.0
169.5,Jerick McKinnon,20,135.4,7.0,9.7
169.5,Cordarrelle Patterson,42,312.9,7.0,9.8
169.5,Cordarrelle Patterson,42,312.9,7.0,9.8
198.5,Samaje Perine,26,143.8,6.0,4.1
198.5,Salvon Ahmed,17,110.0,6.0,4.3
198.5,Chris Thompson,17,109.6,6.0,4.4
198.5,Byron Pringle,26,156.2,6.0,4.7
198.5,Brandon Bolden,23,133.6,6.0,4.8
198.5,Demaryius Thomas,11,67.3,6.0,5.0
198.5,Josh Reynolds,34,212.8,6.0,5.0
198.5,Brian Hill,26,160.9,6.0,5.3
198.5,Rondale Moore,14,84.9,6.0,5.6
198.5,Giovani Bernard,42,250.1,6.0,5.6
198.5,Ty Johnson,38,220.3,6.0,5.6
198.5,DeeJay Dallas,18,104.5,6.0,5.6
198.5,Kalif Raymond,23,141.4,6.0,5.8
198.5,Marcus Johnson,18,110.2,6.0,5.8
198.5,Richie James Jr.,12,73.5,6.0,5.8
198.5,Malcolm Brown,33,195.0,6.0,5.9
198.5,Keke Coutee,17,106.5,6.0,6.0
198.5,Peyton Barber,39,235.7,6.0,6.0
198.5,Keelan Cole Sr.,39,243.8,6.0,6.1
198.5,Devontae Booker,36,230.5,6.0,6.4
198.5,Justin Jackson,27,167.0,6.0,6.6
198.5,Quintez Cephus,16,96.8,6.0,6.8
198.5,Anthony Miller,32,199.5,6.0,6.9
198.5,Mecole Hardman,45,285.7,6.0,7.6
198.5,Kenny Stills,23,145.0,6.0,8.0
198.5,Scotty Miller,21,128.5,6.0,8.1
198.5,LeSean McCoy,21,132.4,6.0,8.1
198.5,Khalil Herbert,13,83.7,6.0,8.4
216.5,La'Mical Perine,11,57.3,5.0,2.8
216.5,Alfred Morris,10,45.2,5.0,3.2
216.5,Ito Smith,19,88.1,5.0,4.4
216.5,Jordan Wilkins,23,117.3,5.0,4.8
216.5,Jaylen Samuels,22,103.2,5.0,4.8
216.5,Royce Freeman,38,203.7,5.0,5.1
216.5,D'Ernest Johnson,22,120.7,5.0,5.1
216.5,Kalen Ballage,29,147.2,5.0,5.8
228.5,Reggie Bonnafon,11,47.5,4.0,2.7
228.5,Darwin Thompson,15,61.7,4.0,3.1
228.5,Jalen Richard,35,126.7,4.0,3.3
228.5,Dare Ogunbowale,30,124.8,4.0,3.3
228.5,Jaret Patterson,13,52.6,4.0,3.6
228.5,Patrick Laird,20,80.9,4.0,3.7
228.5,Jeremy McNichols,27,106.3,4.0,3.8
228.5,Joshua Kelley,21,92.6,4.0,3.8
228.5,Ryquell Armstead,13,52.2,4.0,3.9
228.5,JaMycal Hasty,15,65.5,4.0,4.0
228.5,Travis Homer,24,101.7,4.0,4.6
228.5,Kyle Juszczyk,39,174.3,4.0,4.8
228.5,Qadree Ollison,12,42.6,4.0,5.0
228.5,Benny Snell Jr.,38,159.5,4.0,5.1
228.5,Ameer Abdullah,29,121.1,4.0,6.4
228.5,Ke'Shawn Vaughn,11,47.5,4.0,7.0
239.0,Bilal Powell,12,35.6,3.0,2.0
239.0,Justice Hill,21,63.0,3.0,2.6
239.0,Dion Lewis,31,103.8,3.0,3.0
239.0,Ty Montgomery,24,71.0,3.0,3.4
239.0,C.J. Prosise,13,33.3,3.0,3.4
247.0,Gabe Nabers,11,22.2,2.0,1.4
247.0,Patrick Ricard,20,42.6,2.0,1.5
247.0,Anthony McFarland Jr.,13,25.2,2.0,1.5
247.0,Andy Janovich,10,24.4,2.0,1.6
247.0,Jakob Johnson,10,20.8,2.0,1.9
247.0,C.J. Ham,34,73.7,2.0,2.4
247.0,Elijhaa Penny,22,44.2,2.0,2.5
247.0,Wendell Smallwood,13,28.4,2.0,2.5
247.0,Tony Jones Jr.,10,23.7,2.0,3.0
247.0,Corey Clement,14,25.1,2.0,3.1
247.0,Alec Ingold,26,59.6,2.0,3.3
254.5,Derek Watt,11,15.6,1.0,0.9
254.5,Alex Armah Jr.,20,24.3,1.0,1.0
254.5,Keith Smith,22,28.9,1.0,1.1
254.5,Michael Burton,15,21.3,1.0,1.2
