PlayerName,Games,Total Scoring,Average,IQR
Cooper Kupp,16,372.2,23.0,11.4
Davante Adams,15,308.3,21.0,18.0
Deebo Samuel,15,289.6,19.0,11.1
Ja'Marr Chase,16,294.2,18.0,11.9
Justin Jefferson,16,271.9,17.0,9.4
Tyreek Hill,16,248.2,16.0,16.7
Cordarrelle Patterson,15,227.8,15.0,10.1
Chris Godwin,14,204.8,15.0,11.4
Diontae Johnson,15,215.8,14.0,5.6
Keenan Allen,15,206.6,14.0,5.9
Stefon Diggs,16,221.4,14.0,6.7
Tee Higgins,14,190.1,14.0,9.8
Mike Evans,15,207.7,14.0,10.4
Robert Woods,9,116.5,13.0,4.0
DeAndre Hopkins,10,126.2,13.0,8.9
D.K. Metcalf,16,201.6,13.0,9.6
CeeDee Lamb,15,197.7,13.0,9.8
Brandin Cooks,15,194.9,13.0,10.7
Adam Thielen,13,169.4,13.0,12.1
Mike Williams,15,193.2,13.0,12.6
Tyler Lockett,15,193.5,13.0,15.4
Hunter Renfrow,16,199.9,12.0,7.9
Elijah Moore,10,120.2,12.0,9.4
Amari Cooper,14,164.1,12.0,9.4
Jaylen Waddle,15,183.8,12.0,9.8
Terry McLaurin,15,175.8,12.0,9.9
Marquise Brown,15,183.7,12.0,10.0
A.J. Brown,12,143.8,12.0,11.0
DJ Moore,16,183.2,11.0,7.5
Russell Gage,10,105.9,11.0,8.4
Michael Pittman Jr.,16,183.7,11.0,9.0
Amon-Ra St. Brown,15,159.8,11.0,11.4
Darnell Mooney,16,170.2,11.0,11.8
Christian Kirk,16,165.6,10.0,6.4
DeVante Parker,8,81.3,10.0,6.4
Corey Davis,9,89.2,10.0,7.7
Jakobi Meyers,15,132.1,9.0,5.2
Michael Gallup,9,77.0,9.0,5.4
Chase Claypool,14,125.7,9.0,5.5
Emmanuel Sanders,13,110.9,9.0,6.6
Gabriel Davis,12,106.0,9.0,7.8
Tyler Boyd,16,151.7,9.0,7.9
Kendrick Bourne,16,142.4,9.0,8.4
Van Jefferson,16,139.3,9.0,9.2
A.J. Green,15,131.5,9.0,9.9
Marquez Valdes-Scantling,9,77.0,9.0,10.2
DeVonta Smith,16,150.0,9.0,12.3
Jerry Jeudy,8,62.2,8.0,2.8
Rashod Bateman,10,80.3,8.0,5.4
Courtland Sutton,16,122.8,8.0,5.5
Josh Reynolds,8,64.5,8.0,5.9
Marvin Jones Jr.,16,128.4,8.0,6.5
Kalif Raymond,12,92.3,8.0,6.9
Marquez Callaway,16,131.8,8.0,6.9
Jarvis Landry,11,90.1,8.0,7.4
Cole Beasley,15,114.2,8.0,7.6
Randall Cobb,10,77.7,8.0,8.0
Brandon Aiyuk,15,125.1,8.0,8.2
Odell Beckham Jr.,13,104.5,8.0,8.7
Tim Patrick,15,117.4,8.0,8.8
Allen Lazard,13,100.8,8.0,10.3
K.J. Osborn,15,125.0,8.0,11.3
Julio Jones,8,53.6,7.0,1.8
Laquon Treadwell,8,56.0,7.0,2.7
Jamison Crowder,11,76.1,7.0,4.4
Kadarius Toney,9,65.4,7.0,4.9
Robby Anderson,15,97.8,7.0,6.0
Cedrick Wilson Jr.,13,96.6,7.0,6.2
Deonte Harty,12,88.7,7.0,6.6
Donovan Peoples-Jones,12,88.4,7.0,8.2
Laviska Shenault Jr.,15,85.9,6.0,3.2
Kenny Golladay,11,69.9,6.0,3.8
Allen Robinson II,11,62.8,6.0,3.9
Nelson Agholor,13,82.4,6.0,4.1
Sammy Watkins,9,54.9,6.0,4.3
Mecole Hardman,16,92.8,6.0,4.7
Byron Pringle,15,95.7,6.0,5.6
Rondale Moore,14,84.9,6.0,5.6
Braxton Berrios,14,90.8,6.0,5.8
Tre'Quan Smith,9,55.6,6.0,6.2
Zay Jones,14,78.4,6.0,6.6
Nick Westbrook-Ikhine,13,73.8,6.0,6.7
Bryan Edwards,13,83.9,6.0,6.9
T.Y. Hilton,9,57.7,6.0,8.2
Joshua Palmer,13,64.0,5.0,1.5
Quez Watkins,15,78.7,5.0,2.6
Chris Conley,11,51.7,5.0,3.2
Nico Collins,12,58.9,5.0,3.3
Damiere Byrd,9,40.7,5.0,3.5
Jalen Guyton,14,74.2,5.0,3.6
Marquise Goodwin,10,48.1,5.0,3.6
Olamide Zaccheaus,14,68.2,5.0,3.8
Juwan Johnson,8,39.4,5.0,3.9
Brandon Zylstra,8,40.0,5.0,3.9
Zach Pascal,14,72.5,5.0,4.7
Rashard Higgins,10,45.5,5.0,4.7
Cam Sims,8,41.4,5.0,5.2
DeSean Jackson,13,69.9,5.0,5.3
James Washington,11,54.0,5.0,5.6
Freddie Swain,13,65.5,5.0,6.1
Darius Slayton,9,43.8,5.0,6.3
Jauan Jennings,10,45.8,5.0,6.6
DeAndre Carter,13,68.3,5.0,6.8
Demetric Felton,9,32.7,4.0,0.8
Isaiah McKenzie,11,41.9,4.0,1.3
Keelan Cole Sr.,12,52.0,4.0,1.6
Albert Wilson,9,35.9,4.0,2.6
Kendall Hinton,8,31.0,4.0,3.0
Adam Humphries,16,58.0,4.0,3.3
Devin Duvernay,14,61.1,4.0,3.5
Chester Rogers,13,46.7,4.0,3.6
Demarcus Robinson,12,53.5,4.0,4.0
Jalen Reagor,15,58.4,4.0,4.5
Tyler Johnson,12,49.3,4.0,5.0
Tavon Austin,10,37.7,4.0,5.4
KhaDarel Hodge,8,22.2,3.0,0.9
Tajae Sharpe,12,35.5,3.0,1.8
Ashton Dulin,12,39.3,3.0,2.1
Terrace Marshall Jr.,8,22.3,3.0,2.1
Dyami Brown,8,22.2,3.0,3.7
Ray-Ray McCloud,13,39.2,3.0,4.1
Ty Montgomery,9,22.8,3.0,4.9
Jakeem Grant Sr.,8,22.5,3.0,9.2
N'Keal Harry,9,20.4,2.0,1.8
Dax Milne,8,9.0,1.0,1.8
